LIMIT_BAL,SEX,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,preds
80000,1,0,0,0,0,0,0,31780,33261,34703,36125,38374,39382,2000,2000,2000,3000,1800,2000,0
130000,2,1,2,2,2,0,0,112434,98455,103351,100724,97675,102080,0,12700,0,4000,11461,0,0
30000,2,0,0,0,0,0,0,26376,27483,28242,16498,16923,17649,1550,1308,1300,700,1000,2000,0
460000,2,-1,-1,-1,0,0,-1,58312,36388,52920,50106,50147,1341,36570,52937,1006,1019,1347,1965,0
270000,1,0,0,0,0,0,0,9526,10418,6436,7196,7137,5587,1116,1500,2000,1000,194,1005,0
150000,1,-1,-1,-2,-2,-2,-1,15000,0,0,0,0,11694,0,0,0,0,11694,30000,0
130000,1,0,0,0,0,0,0,129049,63099,57700,53308,48722,48831,3000,2100,2500,2100,2100,1500,0
20000,1,0,0,-1,-1,-1,-1,2946,0,1473,240,390,1320,0,1473,240,540,1320,0,0
60000,1,0,0,0,0,0,0,60557,58563,27436,29752,30351,28871,3040,3000,3000,4000,2000,3000,0
30000,2,0,0,0,0,0,0,28622,28219,27764,27973,28576,12135,1700,1500,700,700,500,1000,0
10000,2,1,3,2,2,2,0,11640,10685,9730,11645,10702,10392,0,0,3000,0,500,1000,0
290000,2,0,0,-1,-1,-1,-1,113618,289002,1332,21429,2228,156721,34507,1343,21542,2239,156733,7219,0
20000,2,-2,-2,-2,-2,-2,-2,223,0,0,0,0,0,0,0,0,0,0,0,0
150000,1,-1,-1,-1,0,0,-2,46745,20853,90787,11232,0,0,20995,91269,56,0,0,0,0
200000,2,0,0,0,0,0,0,184697,186660,77221,110294,68214,72103,8001,5000,35000,6000,5000,5000,0
180000,1,0,-1,-1,-1,0,0,16366,18339,2766,97996,55156,36213,18339,2766,97996,1861,1196,3000,0
50000,1,0,0,0,0,0,0,50603,50116,48063,43787,9226,9628,2500,2505,2531,530,2000,1000,0
110000,2,2,2,2,0,0,2,95090,94938,91453,92097,96509,93773,3400,0,3290,7000,0,3500,1
160000,1,0,0,0,0,0,0,38486,39217,40537,41030,41891,43196,1652,1972,1465,1519,2000,1592,0
50000,2,2,0,0,2,2,2,37397,40292,43073,44067,44955,44081,3500,3452,2000,1738,0,4000,1
750000,2,0,0,0,0,-1,-1,184022,163441,92767,75696,35485,4889,6817,2330,2705,50854,4913,550,0
150000,2,1,-2,-2,-2,-2,-1,0,0,0,0,0,9240,0,0,0,0,9240,0,0
120000,2,-1,-1,-1,-1,-1,2,3215,700,700,10673,9671,9332,700,700,10673,2550,0,10000,0
190000,1,-1,-1,2,2,-2,-2,231,3421,3190,0,0,0,3190,0,0,0,0,0,0
60000,2,-1,-1,-1,-1,-2,-1,836,390,317,-73,-463,7942,390,317,0,0,10000,1000,0
210000,2,0,0,0,0,0,0,137009,121126,101951,96329,84224,81570,20000,15011,10000,10000,5000,10001,0
390000,2,0,0,0,0,0,-2,49667,33900,33545,16666,0,0,1700,17000,333,0,16666,13807,0
250000,2,-1,-1,-1,-1,-1,-1,14766,990,8150,15410,1276,0,990,8150,15410,1276,0,0,0
290000,1,0,0,0,0,0,0,196566,168372,171699,133147,135147,127087,7800,7839,4706,5400,4604,4900,0
50000,1,1,5,4,8,7,6,48481,47426,56623,55815,55033,53625,0,10000,0,0,0,0,0
210000,2,-1,-1,-1,0,-1,-1,3095,2768,5536,2768,1075,2006,2768,5536,0,1075,2006,1344,0
300000,2,1,-2,-2,-2,-2,-2,390,390,780,390,390,5144,390,780,0,390,5144,390,0
260000,1,-1,-1,-1,-1,-1,0,2335,1432,718,500,5306,2091,1432,718,500,5306,0,770,0
50000,2,0,0,2,0,0,2,44970,48101,46993,47940,50903,49794,3855,0,1694,3713,2000,1900,0
150000,2,-1,0,-1,-1,-1,-2,18836,5312,740,10,0,0,2000,740,1410,0,0,0,0
210000,2,-1,-1,-1,-2,-2,-2,14993,1938,0,0,0,0,1938,0,0,0,0,0,0
80000,1,0,0,0,2,0,0,60588,61369,44810,43766,44636,93074,2505,3745,0,1571,2627,1662,0
80000,2,0,0,0,-2,-2,-2,30985,44300,0,0,0,0,14300,0,0,0,0,0,0
180000,2,0,0,0,0,0,0,174104,171889,172288,175557,178010,178976,7000,8000,8000,7001,6600,7000,0
180000,1,0,0,0,0,-2,-2,160580,171644,184650,0,0,0,13714,16500,0,0,0,0,0
210000,2,0,0,0,0,0,0,206409,198390,200035,96882,99087,101427,8546,7542,11538,3735,4129,2821,0
120000,1,0,0,0,0,0,2,8460,7729,8920,7439,26832,26287,5000,1500,7000,21300,0,1000,0
150000,2,-2,-2,-2,-2,-1,-1,329,-31,3189,0,150,880,0,3220,0,150,880,0,0
240000,2,0,0,0,0,0,0,7283,5266,5113,7113,7113,4178,1263,1000,2000,2500,2000,5000,0
360000,2,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
150000,2,0,0,0,-1,-1,-1,28210,19130,10000,8000,0,10000,1130,1000,8000,2000,10000,0,0
30000,1,2,2,2,0,0,0,28290,30728,29701,29121,29715,0,3600,0,600,594,0,0,1
380000,2,0,0,0,0,0,0,305489,299641,256345,258936,228387,203931,11687,12160,12434,8651,8531,6974,0
150000,1,-1,-1,-1,-1,-1,-1,1050,3258,3664,1461,2348,3626,3258,3735,1461,2348,3626,3089,0
480000,2,-2,-2,-2,-2,-2,-2,1087,188,257,1697,188,22507,188,257,1697,188,22507,370,0
20000,1,-1,-1,0,0,0,-2,1956,16568,15586,12800,0,0,16573,1551,5060,0,0,0,0
50000,2,1,-2,-2,-2,-2,-2,-639,-639,-1800,0,0,0,0,900,1800,0,0,0,0
50000,1,-1,0,0,0,0,0,45626,16533,10745,9994,16829,13051,3000,9537,5000,10000,5000,2000,0
130000,1,0,0,0,0,0,0,39251,40772,40437,9919,10295,7964,2500,3200,1200,500,447,1000,0
130000,1,0,0,0,0,0,0,110524,108204,99784,71451,67024,62655,10000,5000,4000,4000,7500,8200,0
360000,2,-1,-1,-1,-1,-1,0,660,660,658,1095,4948,3861,663,661,1100,4953,19,1264,0
180000,1,-2,-2,-2,-2,-2,-2,2930,3300,2860,4216,2609,9609,3300,2860,4216,2609,9700,6525,0
280000,1,0,0,0,0,0,0,104252,107034,109958,112850,115092,117496,4510,4654,4730,4119,4258,4292,0
100000,2,1,-2,-1,-1,-1,-2,0,0,680,837,0,0,0,680,837,0,0,0,0
20000,2,-1,-1,-1,-1,-1,0,4687,9060,5064,14745,6805,6805,15000,6004,14776,10000,0,7436,0
200000,1,-1,-1,-1,-1,-1,-1,1201,0,973,0,161,1174,0,973,0,161,1174,598,0
150000,1,-2,-2,-2,-2,-2,-2,989,1023,7542,1200,0,0,1023,7542,1200,0,0,689,0
70000,2,0,0,0,2,0,0,64670,66197,70867,54425,55555,48530,3166,6550,0,2033,1915,1708,0
30000,1,-1,-1,-1,-1,-1,-1,390,390,390,390,390,390,390,390,390,390,390,2109,0
360000,1,1,2,0,0,-1,-1,71195,60553,60158,16672,35039,8320,0,1399,0,35039,8320,5169,0
70000,1,0,0,0,0,0,0,63441,29091,29802,30395,31034,31668,1789,1500,1089,1130,1150,1200,0
140000,2,0,0,2,2,2,0,27098,29832,29354,30609,29981,30581,3485,300,2038,0,1100,2570,0
20000,2,0,0,0,0,0,0,13561,14573,15290,16300,16624,16974,1543,1260,1270,594,617,1425,0
140000,2,-1,-1,-2,-2,-1,0,1500,0,0,0,6400,11400,0,0,0,6400,5000,1000,0
70000,2,3,2,2,2,0,0,69852,67531,28650,27590,27850,28085,0,2708,0,1010,1013,2000,1
150000,2,1,2,0,0,0,0,170971,165806,146001,113907,115578,111863,39,6000,3937,4077,4504,23066,0
80000,2,0,0,2,0,0,0,80808,81615,79075,79604,78567,79810,6926,0,3000,3000,3300,3200,0
180000,1,-1,-1,-1,-1,-1,-1,2658,2014,536,1123,536,536,2014,536,1123,536,536,629,0
230000,2,0,0,0,0,-1,-1,11406,10097,4600,3234,4696,7062,5097,1060,1000,4696,7062,10898,0
150000,1,-1,2,-1,-1,0,-1,6146,891,8969,6027,5132,1461,0,8969,6027,0,1461,50289,0
100000,2,0,0,0,0,0,0,111925,107224,107126,101859,79519,74368,4000,7000,3533,2673,3500,4303,0
80000,1,0,0,0,0,0,0,78216,62890,52973,52328,49214,50245,2115,5004,1834,1562,1621,2196,0
20000,2,1,-1,-1,-1,-1,0,-5,4995,2197,3047,4262,7163,5000,2200,6050,5000,3000,2000,0
490000,1,2,-1,-1,-2,-1,-1,3956,3081,0,0,2236,3052,3081,0,0,2236,3052,3159,0
180000,2,0,0,0,2,0,0,169225,172888,182533,176099,178391,181986,7800,14010,4,6431,6600,6675,0
100000,2,1,2,2,2,-1,-1,7828,7260,430,0,860,430,430,0,0,860,430,1166,0
20000,2,0,0,0,0,-1,-1,14562,5991,6870,0,2734,0,1121,1000,0,1367,0,0,0
200000,1,0,0,0,0,0,0,66012,68099,70387,71929,58133,40500,2500,2700,2242,2093,1300,0,0
170000,2,0,0,0,0,-2,-1,63948,62090,63000,0,0,3300,5000,4000,0,0,3300,0,0
10000,2,0,0,-1,-1,0,0,7828,8507,511,7696,8696,7660,1009,511,7696,1000,0,0,0
60000,2,-1,0,0,0,0,0,57147,58104,58311,58828,58945,57918,3000,3000,2500,2100,4000,2100,0
440000,2,0,0,0,0,0,0,324469,324109,287932,287892,276902,221866,11129,10300,11098,11200,12000,131400,0
50000,2,-1,-1,-1,-1,-1,-1,11684,45135,34539,7000,6000,0,45135,34539,7000,6000,0,0,0
220000,1,0,0,-1,-1,-1,0,14588,6689,4664,9530,118206,112206,5021,4674,9530,120000,0,0,0
100000,1,2,2,2,2,2,2,74396,75317,77084,78308,79901,81630,2700,3600,3100,3000,3200,3000,1
200000,1,-1,-1,-1,-1,-1,-1,1377,528,216,1311,2842,0,792,216,1311,2842,0,623,0
360000,2,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
30000,2,-1,-1,-1,-1,-1,-1,390,390,390,390,390,0,390,390,390,390,0,780,0
180000,1,0,0,0,0,0,-1,4236,5230,6570,7192,6437,12499,2001,2000,1018,6154,12527,5016,0
70000,2,-1,-1,-1,-1,0,0,2226,1245,-1000,11019,11632,7864,1245,0,12019,1000,157,7851,0
50000,1,0,0,0,-2,-2,-2,26533,16426,0,0,0,0,1000,0,0,0,0,0,0
140000,2,0,0,0,0,0,0,112936,117021,107837,96546,95489,97347,6000,5000,3400,3617,3600,3700,0
360000,2,1,-2,-2,-1,0,0,0,1680,0,5950,6352,6563,1680,0,5950,500,317,1150,0
130000,2,2,2,0,0,0,0,73250,71473,73892,74400,62134,63430,0,3572,2645,1813,1878,2210,1
230000,2,-2,-2,-2,-2,-2,-1,7906,2131,5733,4292,4694,4709,2138,5756,4303,4711,4741,6037,0
30000,1,2,2,2,2,2,0,22422,24334,26087,26184,25563,26099,2600,2441,820,0,851,1678,1
200000,2,0,0,0,0,0,0,47550,51427,52672,53682,51841,52921,5000,2672,2492,2006,2069,2258,0
140000,2,2,-1,-1,-1,-1,-1,1070,4593,4705,1710,0,6096,4593,4705,1710,0,6096,0,0
120000,2,0,0,0,0,0,0,106469,108606,107945,111622,115301,117873,5400,4000,5500,5500,5500,1000,0
210000,2,-2,-2,-2,-2,-2,-2,138398,109115,101912,62959,60767,41150,5000,5000,2500,2800,2000,0,0
80000,2,-2,-2,-2,-2,-2,-2,577,494,438,387,246,939,500,438,387,246,939,350,0
110000,1,0,0,0,0,0,0,93983,88777,82501,54458,45943,44724,3371,2636,1883,1584,1604,2008,0
230000,2,0,0,0,0,0,0,167299,165568,140467,133479,122948,125519,8448,5785,5400,4397,4548,4670,0
200000,1,0,0,0,0,0,0,15138,16396,6989,6619,7362,7252,1513,1106,335,845,1513,413,0
50000,1,1,2,2,2,0,0,7148,6887,9602,9304,10835,11658,0,3000,0,2000,1000,1500,0
180000,1,0,0,0,0,0,2,134327,123211,118587,118482,119952,110003,6015,6005,5702,7509,14,5011,0
90000,2,0,0,0,0,0,0,6090,7477,8848,10135,11731,8138,1500,1500,1500,2000,1500,1000,0
50000,2,1,2,2,2,2,0,33385,35538,34686,39097,38171,39396,3000,0,5000,0,2000,5000,0
200000,1,0,0,0,0,0,0,170707,159654,162208,162357,144236,127362,6017,8000,5800,5200,5000,5000,0
250000,1,-2,-2,-2,-2,-1,-1,-207,-207,-207,-207,11361,700,0,0,0,11568,700,0,0
170000,1,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
260000,1,0,0,0,0,0,0,154927,158848,160654,155059,141570,134143,8000,6000,7100,5300,5000,5000,0
200000,2,-1,-1,-1,-1,-1,-1,390,390,390,390,390,390,390,390,390,390,390,390,0
80000,2,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
220000,2,-1,-1,-1,-1,0,-1,1051,735,419,1470,1154,735,735,419,1470,0,735,2205,0
280000,2,0,0,0,0,0,0,294995,316345,334612,262625,172344,182776,26345,24612,22625,12344,12776,11852,0
120000,2,0,0,0,0,0,0,118148,118593,101152,80503,75407,77157,5033,5000,3007,3000,3000,3000,0
60000,2,0,0,0,0,0,0,38788,18251,19289,19033,20793,23530,2065,2000,2000,2000,3000,3000,0
70000,2,0,0,5,4,3,3,56778,75037,73326,71568,72540,71148,20000,0,0,2700,0,0,0
140000,2,0,0,0,0,0,0,92924,88331,83421,79088,73360,67700,4691,4251,4500,3000,2500,2300,0
140000,2,0,0,0,0,0,0,105732,99769,102682,102332,104544,107155,5000,5500,5000,4000,4500,4500,0
360000,1,-1,-1,-1,-1,-1,-1,5875,7279,6894,7143,1787,19526,7289,6918,7148,1792,19541,3689,0
30000,1,1,2,3,2,0,0,25787,28067,27332,26597,27512,57002,3000,0,0,1500,1600,900,0
20000,2,-1,-1,-1,-1,-1,0,9763,925,4033,897,2147,1359,925,4033,1136,2147,407,700,0
390000,2,0,0,0,0,0,0,304867,299998,300426,292869,292885,281826,13007,10612,10041,11000,10512,7000,0
180000,2,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
380000,2,0,0,0,0,0,0,365023,365445,350474,342569,307959,309709,14320,15065,13017,15026,12017,12031,0
20000,2,-2,-2,-2,-2,-1,-1,836,390,390,390,1487,3560,390,390,390,1487,3560,15000,0
240000,1,-2,-2,-2,-2,-2,-2,13989,7976,2088,7795,1335,2928,7976,2088,7795,1335,2928,4319,0
400000,1,0,-1,-1,0,0,-1,2984,3353,8372,7743,4984,3027,3369,8379,1074,124,3042,2891,0
190000,1,0,0,0,0,0,0,146224,149289,152886,156273,159800,162570,5500,6000,6000,6000,6000,6000,0
180000,1,0,0,0,0,0,0,109114,71952,16765,14611,16209,25653,2835,1500,1000,2000,10000,20000,0
500000,1,-1,-1,-1,-1,-1,-1,29276,7934,635,12416,4022,259,7972,637,12553,4070,259,11675,0
360000,2,-2,-2,-2,-2,-2,-2,2333,6295,0,0,1070,0,6295,0,0,1070,0,0,0
200000,1,2,2,2,2,2,2,147660,148603,143647,152605,155981,158508,5500,0,12000,8000,5800,80,1
170000,1,-1,-1,-1,-1,0,-1,792,-2604,396,792,396,396,0,3396,792,0,396,396,0
360000,1,0,0,0,0,0,0,277523,117239,121284,93951,58200,52585,4013,90054,9011,3007,2592,1013,0
200000,1,0,0,0,0,0,0,51995,52442,46472,48692,50571,51756,4000,2000,3000,3000,2000,2000,0
260000,1,0,0,0,0,0,0,266762,268508,266858,194413,189687,162473,11500,10000,5731,5654,5275,4000,0
30000,2,0,0,0,0,0,0,6359,7461,5172,5931,7665,9535,1230,1241,1000,2000,2000,0,0
230000,1,0,0,0,0,0,0,94314,96269,56058,57174,58371,59561,4082,1990,2003,2074,2115,2094,0
220000,2,0,0,0,0,0,0,222598,222168,217900,221193,181859,184605,10000,8018,10121,6006,10987,143779,0
20000,1,-1,-1,-2,-2,-2,-2,1200,0,0,0,0,0,0,0,0,0,0,0,0
20000,1,0,0,0,0,0,0,15552,16596,17609,17329,17850,18046,1300,1300,700,800,602,600,0
230000,1,-2,-2,-1,-1,0,0,-8,-8,3243,20172,26446,58598,0,3251,20174,12000,46100,65000,0
100000,1,0,0,0,0,0,0,101761,101801,101863,101729,98103,99521,3856,3919,3986,3865,3760,3863,0
150000,1,-2,-2,-2,-2,-2,-2,6682,2659,2178,1536,626,621,2669,2184,1542,626,621,1591,0
90000,2,-1,-1,-1,0,0,0,866,148,377,4229,6109,8832,148,377,4000,2109,2832,316,0
60000,2,2,2,2,2,2,0,56685,55208,59175,60218,55447,55305,0,5000,2511,6,3000,3000,1
320000,2,-1,-1,-1,0,-1,-1,44500,51257,54659,35196,71244,35299,51334,54726,103,71404,35448,47699,0
10000,1,-1,-1,0,0,0,0,1772,8304,9506,9702,9999,10344,8304,1500,500,600,800,0,0
130000,2,-1,-1,-1,-1,-1,-1,780,0,390,540,540,636,0,390,540,540,636,3636,0
10000,2,1,2,2,2,0,0,8599,9695,10385,9987,9987,0,1400,1000,0,0,0,0,0
50000,1,0,0,0,0,0,0,46652,45235,23299,22672,21440,19304,2014,1600,1400,429,386,57,0
320000,1,1,2,2,2,2,2,114180,115491,109226,111673,111053,105999,5012,11,7013,4014,57,5031,0
150000,1,0,0,0,0,0,0,144614,146446,122634,74711,76532,76452,6700,3764,2700,3000,3000,2800,0
240000,2,0,0,0,0,0,0,92076,84598,90102,90198,89822,95856,5006,9002,7000,5049,21862,5529,0
50000,1,2,2,2,2,0,0,43333,46308,47250,46192,46997,48221,4000,2000,0,1700,2000,3600,1
110000,2,0,0,0,0,0,0,107649,82139,74760,63520,62529,58228,3500,3899,3000,1800,3000,2000,0
80000,2,0,0,0,0,0,0,77929,77711,74525,61360,49359,48253,3006,2747,2344,1756,1758,1717,0
140000,1,0,0,0,0,0,2,139934,132948,135695,121943,111348,107488,6500,6500,4322,12200,0,4200,0
110000,2,0,0,0,0,0,0,111255,110615,112071,89274,91413,95541,4112,4519,4000,4000,6000,4000,0
60000,2,0,-1,0,0,-1,-1,47386,4807,3434,2386,2837,3358,4807,1048,1000,2837,3358,5093,0
30000,2,3,3,3,3,2,2,29093,29532,29954,29176,29958,30520,1200,1200,0,1400,1200,0,1
110000,1,1,2,3,2,0,0,53524,58646,57156,54984,57437,59204,6600,0,0,4000,3500,2200,0
320000,2,-1,-1,-1,-1,0,0,1302,3571,311,8088,10881,11600,3571,311,8088,5000,1600,1810,0
330000,1,-1,-1,-1,-1,-1,-1,1051,671,291,1051,1011,1051,671,291,1051,1011,1051,821,0
50000,2,0,0,0,0,0,0,48064,49362,48038,8760,9646,7747,2091,1310,1000,1000,277,296,0
110000,1,0,0,0,0,-2,-2,56573,26953,28190,-18,-18,-18,2000,2000,0,0,0,0,0
120000,1,-1,-1,-1,-1,0,0,316,316,1360,9474,10158,2551,316,1360,10000,1000,2000,3000,0
80000,2,0,0,0,0,2,2,60918,62445,63905,67943,68811,70526,2500,2500,5100,2100,3000,3000,0
210000,2,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
330000,2,0,-1,0,0,0,0,118053,197622,25664,9461,6407,15791,198842,25000,9004,6000,15000,6000,0
290000,2,0,0,0,0,0,0,76383,78200,79726,80890,81615,75661,3400,3700,3600,3000,3000,3000,0
360000,2,-1,-1,-1,-1,-1,-1,1066,0,878,1142,926,1401,0,878,1142,926,1401,938,0
150000,2,-1,-1,-1,-1,-1,-1,291,291,291,291,658,441,291,291,291,658,441,1197,0
160000,1,-1,-1,-2,-2,-2,-2,165,0,0,0,0,0,0,0,0,0,0,0,0
100000,2,1,-1,2,2,-1,0,0,203,203,0,7856,16544,203,0,0,7856,10000,865,0
140000,2,0,0,0,0,0,0,111496,112133,69529,70804,70781,66735,6022,3021,5012,5112,3000,5000,0
80000,1,0,0,2,0,0,0,11204,17587,17405,20207,23308,26406,6922,441,3450,3541,3545,3649,0
80000,1,0,0,0,0,-2,-2,53315,47740,50100,0,0,0,3300,6267,0,0,0,4189,0
260000,1,-1,-1,-1,-1,-1,-2,771,1593,419,529,0,4090,1596,437,529,0,4090,98,0
180000,1,1,2,2,2,2,0,114952,117567,119314,120882,117450,120398,6000,5100,5000,0,5000,5000,0
350000,2,0,0,0,0,0,0,293303,338272,177483,182381,194678,215024,50070,10000,8000,15036,30050,8110,0
150000,2,0,0,0,0,0,0,43544,47751,49096,49848,52007,54161,5000,5000,3000,3000,3000,3500,0
30000,1,0,0,0,0,0,0,29272,29096,22088,21624,21833,18174,1404,1268,694,866,695,838,0
20000,2,0,0,0,4,3,2,14034,15296,20035,19435,18835,18395,1500,5000,0,0,0,3000,0
70000,2,0,0,0,0,0,0,22068,30307,30570,31367,32163,32975,29500,2000,2000,2000,2000,1780,0
280000,2,2,2,0,0,0,0,506515,491801,62236,54813,38669,18010,0,1803,1475,1105,534,318,1
50000,1,1,2,0,0,0,-1,50146,47918,48866,4372,-1203,49830,0,2400,1000,0,51830,0,0
190000,1,0,0,0,2,2,2,79838,81523,83530,87126,84165,89017,4000,5000,6000,0,6500,574,0
90000,2,0,0,0,0,0,0,62062,62617,57990,51537,52486,48483,2971,2168,1686,1878,1611,1334,0
250000,1,-1,-1,-1,2,-1,0,3893,54673,8402,2765,6037,3561,54946,8433,13,6049,17,4980,0
240000,2,-1,-1,-1,-1,-1,0,1386,1207,1357,1559,23506,21532,1207,1357,1559,23506,1603,1407,0
240000,1,0,0,0,0,0,0,237868,242260,101542,30284,168674,171825,8932,4707,1862,140061,5262,5300,0
150000,2,0,0,0,-2,-2,-1,97066,95040,0,0,0,217,2000,0,0,0,217,2972,0
490000,1,1,2,0,0,0,0,230090,224913,227998,217660,194641,199344,0,12000,12000,8000,8000,8000,0
50000,1,-1,0,-1,-1,0,0,2840,2522,5500,21709,21056,20061,1000,5500,21709,916,1161,1884,0
260000,1,0,0,0,0,0,0,257987,260104,253488,145630,148720,139633,7100,135546,4500,4590,4501,4795,0
40000,2,0,0,0,0,0,0,40285,40024,39706,36431,37154,37306,1658,1601,1587,1310,1510,2000,0
280000,2,-1,-1,-1,-1,-1,-1,410,3977,1713,1430,6877,6479,3977,1726,1430,6877,6479,720,0
70000,1,1,2,2,2,2,0,9728,9423,12251,12358,11865,11975,0,3000,600,0,450,500,0
80000,1,0,0,0,0,0,0,58592,52465,16937,15159,12195,0,2912,3000,3000,3000,0,0,0
110000,2,-1,2,-1,0,0,-1,549,179,1166,790,806,1729,0,1166,0,446,1729,0,0
140000,2,0,0,0,0,0,0,156062,158495,160681,144194,144802,147311,5750,5530,6600,5100,5460,5460,0
50000,2,0,0,0,0,0,0,36211,28530,20084,18088,18476,20168,1709,2004,7497,671,2000,6100,0
10000,2,0,0,0,0,0,0,8730,8523,9527,9713,9762,10312,1303,1307,493,354,712,0,0
20000,2,0,0,0,0,0,0,8847,10202,11227,11145,11381,12191,1500,1500,400,416,1002,0,0
210000,2,-1,-1,-1,-1,-1,-1,2783,1080,2855,20787,8307,1747,1088,2855,20787,8314,1747,309,0
30000,2,0,0,0,0,0,2,23185,24194,25529,26563,28120,28558,1400,1730,1760,2310,1033,0,0
50000,2,0,0,0,0,-1,2,16139,17261,14354,8713,1781,1615,1400,1000,500,1781,0,0,0
450000,2,0,0,0,0,0,0,72622,6920,7700,9700,11700,0,2000,1000,2000,2000,0,0,0
150000,2,0,0,0,0,0,0,11529,6745,6177,7215,7644,8367,2000,1262,1300,700,1000,950,0
80000,2,0,0,0,2,2,0,59520,60492,62160,64714,62420,62990,2753,3438,4400,0,2400,9974,0
360000,2,0,-1,-1,0,0,-1,132387,11590,70460,67357,71713,27399,11606,70579,10022,20000,27399,71429,0
120000,2,0,0,0,-1,0,0,121427,60163,61723,25638,26092,14586,77225,21903,25646,5080,0,5052,0
270000,1,1,-1,-1,-1,-1,-2,0,10193,69553,18607,0,0,10193,70213,19008,399,0,0,0
360000,2,-2,-2,-2,-2,-2,-2,0,18540,9007,9500,8675,6573,18540,10000,10000,9000,6600,32810,0
100000,2,0,0,0,0,0,0,37767,34457,30036,30337,30997,32904,1788,1799,1100,1150,2423,0,0
400000,1,0,-1,-1,-1,0,0,31348,27887,38915,29926,24383,45588,28102,39186,30153,12029,38220,6004,0
240000,2,0,0,-2,-2,-2,-2,118175,0,0,0,0,0,0,0,0,0,0,0,0
20000,1,-1,-1,-1,-1,-1,-1,1572,1386,999,2640,1000,0,1386,1003,2640,1000,0,0,0
230000,2,-1,-1,-2,-2,-2,-2,10000,0,0,0,0,0,0,0,0,0,0,0,0
180000,2,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
110000,2,-1,2,2,-1,0,-1,632,316,0,632,316,632,0,0,948,0,632,0,0
90000,2,0,0,0,0,0,-2,81553,39759,29601,20650,0,0,2000,1396,1050,0,0,0,0
